site,bias_meV,didv_A
2,32.66331658291457,2.479510255693477e-12
2,33.16582914572864,2.5041635883004408e-12
2,33.66834170854271,2.5456856790674532e-12
2,34.17085427135678,2.5869066196091145e-12
2,34.67336683417085,2.6177911902543254e-12
2,35.175879396984925,2.6551460692975596e-12
2,35.678391959798994,2.6816626236120063e-12
2,36.18090452261306,2.6997392680980655e-12
2,36.68341708542713,2.7331029276921112e-12
2,37.1859296482412,2.748135016811657e-12
2,37.688442211055275,2.7757961115084473e-12
2,38.19095477386934,2.8245347522589505e-12
2,38.69346733668341,2.8482179644509545e-12
2,39.19597989949749,2.881586718577305e-12
2,39.698492462311556,2.9200349496519246e-12
2,40.201005025125625,2.9604426089536862e-12
2,40.70351758793969,2.985334417610235e-12
2,41.20603015075376,3.0037465372057374e-12
2,41.70854271356784,3.0381957820656497e-12
2,42.211055276381906,3.077274663657164e-12
2,42.713567839195974,3.1037095509090647e-12
2,43.21608040201005,3.1318297729160706e-12
2,43.71859296482412,3.1595948319295915e-12
2,44.22110552763819,3.191400171964246e-12
2,44.723618090452256,3.2276840721171945e-12
2,45.226130653266324,3.252203658369924e-12
2,45.7286432160804,3.271299965400776e-12
2,46.23115577889447,3.2864641758375027e-12
2,46.73366834170854,3.3194167803483e-12
2,47.23618090452261,3.352004033129567e-12
2,47.73869346733668,3.3702645521059817e-12
2,48.24120603015075,3.3979701068543776e-12
2,48.74371859296482,3.4160847483538876e-12
2,49.24623115577889,3.430474655005767e-12
2,49.74874371859296,3.4431832745555093e-12
2,50.25125628140703,3.4619757486558203e-12
2,50.7537688442211,3.4882783796355343e-12
2,51.256281407035175,3.520478487391636e-12
2,51.75879396984924,3.5538660733342948e-12
2,52.26130653266331,3.569542934048925e-12
2,52.76381909547738,3.580215721346355e-12
2,53.26633165829145,3.597464294761423e-12
2,53.768844221105525,3.6120051363389895e-12
2,54.27135678391959,3.640293240242688e-12
2,54.77386934673366,3.668015175199338e-12
2,55.27638190954774,3.681326236870287e-12
2,55.778894472361806,3.6951032484558636e-12
2,56.281407035175874,3.730396597698352e-12
2,56.78391959798994,3.7600595934486486e-12
2,57.28643216080401,3.75068273050152e-12
2,57.78894472361809,3.764541287442841e-12
2,58.291457286432156,3.780080335538507e-12
2,58.793969849246224,3.773328345997364e-12
2,59.2964824120603,3.792963301084459e-12
2,59.79899497487437,3.80436662563887e-12
2,60.30150753768844,3.816826859864562e-12
2,60.804020100502505,3.8285395698677215e-12
2,61.306532663316574,3.8384410339705594e-12
2,61.80904522613065,3.844931115730795e-12
2,62.31155778894472,3.852792290848483e-12
2,62.81407035175879,3.8679883894531005e-12
2,63.31658291457286,3.885150665087305e-12
2,63.81909547738693,3.886759855648357e-12
2,64.321608040201,3.890022559236935e-12
2,64.82412060301507,3.886072162579066e-12
2,65.32663316582914,3.885797562042234e-12
2,65.82914572864321,3.905112015519385e-12
2,66.33165829145727,3.903871191376257e-12
2,66.83417085427135,3.9134254906841e-12
2,67.33668341708542,3.909311750751654e-12
2,67.83919597989949,3.913979689514501e-12
2,68.34170854271356,3.9177831847278485e-12
2,68.84422110552764,3.91070446758484e-12
2,69.3467336683417,3.918329111123769e-12
2,69.84924623115577,3.9367951208226074e-12
2,70.35175879396985,3.924029452784402e-12
2,70.85427135678391,3.9264346788647e-12
2,71.35678391959799,3.932829206844735e-12
2,71.85929648241205,3.937164541565832e-12
2,72.36180904522612,3.9498388709697e-12
2,72.8643216080402,3.971794708630011e-12
2,73.36683417085426,3.9414921211096436e-12
2,73.86934673366834,3.973261259523209e-12
2,74.3718592964824,3.965394798199974e-12
2,74.87437185929647,3.9779831540990565e-12
2,75.37688442211055,3.9844881402342555e-12
2,75.87939698492461,3.985544721171476e-12
2,76.38190954773869,3.9696678974522675e-12
2,76.88442211055276,3.979081053558988e-12
2,77.38693467336682,3.980875416348474e-12
2,77.8894472361809,3.9819449893303414e-12
2,78.39195979899498,3.967821879382282e-12
2,78.89447236180904,3.966484933480887e-12
2,79.39698492462311,3.985570051989314e-12
2,79.89949748743717,3.9541791000311036e-12
2,80.40201005025125,3.961293196438115e-12
2,80.90452261306532,3.959930587518955e-12
2,81.40703517587939,3.98522708637514e-12
2,81.90954773869346,3.9736760861349806e-12
2,82.41206030150752,3.9819546016427195e-12
2,82.9145728643216,4.002129165062916e-12
2,83.41708542713567,3.989411448022493e-12
2,83.91959798994974,3.989097682381971e-12
2,84.42211055276381,4.0119718787532216e-12
2,84.92462311557789,4.007468328516381e-12
2,85.42713567839195,3.9922731673089055e-12
2,85.92964824120602,3.979836039050535e-12
2,86.4321608040201,4.004487738131503e-12
2,86.93467336683416,4.017172368052231e-12
2,87.43718592964824,4.016500700485901e-12
2,87.9396984924623,4.008520089205842e-12
2,88.44221105527637,4.0108058640018276e-12
2,88.94472361809045,4.00307496912905e-12
2,89.44723618090451,3.982135356488708e-12
2,89.94974874371859,3.986340449782496e-12
2,90.45226130653265,4.0148897393647865e-12
2,90.95477386934672,3.987102701803273e-12
2,91.4572864321608,3.989601722594994e-12
2,91.95979899497486,3.994917907252356e-12
2,92.46231155778894,3.988412691263467e-12
2,92.96482412060301,3.963423858260968e-12
2,93.46733668341707,3.9544487596358246e-12
2,93.96984924623115,3.982150826687661e-12
2,94.47236180904522,3.997776892984051e-12
2,94.97487437185929,3.972932293151484e-12
2,95.47738693467336,3.995891946126659e-12
2,95.97989949748742,3.974982362701715e-12
2,96.4824120603015,3.97932477550271e-12
2,96.98492462311557,3.989740790721978e-12
2,97.48743718592964,3.968454202687069e-12
2,97.98994974874371,3.986582973503652e-12
2,98.49246231155777,3.962119930308692e-12
2,98.99497487437185,3.964598148722369e-12
2,99.49748743718592,3.95768124067989e-12
2,100.0,3.93053145e-12
3,0.0,1.5452011e-12
3,0.5025125628140703,1.5500233504305085e-12
3,1.0050251256281406,1.5710639412388097e-12
3,1.507537688442211,1.591662333018824e-12
3,2.0100502512562812,1.579701569431437e-12
3,2.5125628140703515,1.6172186121031983e-12
3,3.015075376884422,1.6234423821978094e-12
3,3.517587939698492,1.6634570337204332e-12
3,4.0201005025125625,1.689352014519797e-12
3,4.522613065326633,1.6961378513687992e-12
3,5.025125628140703,1.6901105091738816e-12
3,5.527638190954773,1.7176363267011541e-12
3,6.030150753768844,1.7262073555867692e-12
3,6.532663316582914,1.7248598402021958e-12
3,7.035175879396984,1.7254114082712484e-12
3,7.537688442211055,1.7464805239836967e-12
3,8.040201005025125,1.7580869972560348e-12
3,8.542713567839195,1.7660045941438975e-12
3,9.045226130653266,1.791128395851344e-12
3,9.547738693467336,1.79238676142516e-12
3,10.050251256281406,1.8016549522844032e-12
3,10.552763819095476,1.824588365134028e-12
3,11.055276381909547,1.8465939452583406e-12
3,11.557788944723617,1.877236904416909e-12
3,12.060301507537687,1.9075607053034366e-12
3,12.562814070351758,1.9438487641345506e-12
3,13.065326633165828,1.986224465603152e-12
3,13.567839195979898,2.0222580594816373e-12
3,14.070351758793969,2.055268220357523e-12
3,14.572864321608039,2.09371058820173e-12
3,15.07537688442211,2.1312718058577376e-12
