site,bias_meV,didv_A
1,64.82412060301507,1.2043266331658292e-11
1,65.32663316582914,1.2019354271356784e-11
1,65.82914572864321,1.1995251005025125e-11
1,66.33165829145727,1.1971329396984925e-11
1,66.83417085427135,1.1948145226130654e-11
1,67.33668341708542,1.1926324623115577e-11
1,67.83919597989949,1.1906442713567839e-11
1,68.34170854271356,1.1889160301507537e-11
1,68.84422110552764,1.1874946984924623e-11
1,69.3467336683417,1.1864019346733668e-11
1,69.84924623115577,1.1856355025125628e-11
1,70.35175879396985,1.1851641457286433e-11
1,70.85427135678391,1.1849012060301507e-11
1,71.35678391959799,1.1847401005025126e-11
1,71.85929648241205,1.1845419095477388e-11
1,72.36180904522612,1.1841760804020101e-11
1,72.8643216080402,1.1835280904522614e-11
1,73.36683417085426,1.1825229648241206e-11
1,73.86934673366834,1.181144120603015e-11
1,74.3718592964824,1.1794510552763819e-11
1,74.87437185929647,1.1775511809045227e-11
1,75.37688442211055,1.1755951507537689e-11
1,75.87939698492461,1.1737491708542714e-11
1,76.38190954773869,1.1721348994974874e-11
1,76.88442211055276,1.1708396984924623e-11
1,77.38693467336682,1.1698751256281406e-11
1,77.8894472361809,1.169184296482412e-11
1,78.39195979899498,1.168653040201005e-11
1,78.89447236180904,1.1681347487437186e-11
1,79.39698492462311,1.1674851005025124e-11
1,79.89949748743717,1.1665939447236182e-11
1,80.40201005025125,1.165399974874372e-11
1,80.90452261306532,1.1638847989949748e-11
1,81.40703517587939,1.1620993216080402e-11
1,81.90954773869346,1.1601095226130653e-11
1,82.41206030150752,1.157993743718593e-11
1,82.9145728643216,1.1558207537688443e-11
1,83.41708542713567,1.1536523618090452e-11
1,83.91959798994974,1.1515075125628141e-11
1,84.42211055276381,1.1494174623115578e-11
1,84.92462311557789,1.147405e-11
1,85.42713567839195,1.145511783919598e-11
1,85.92964824120602,1.1437963819095478e-11
1,86.4321608040201,1.1423196984924622e-11
1,86.93467336683416,1.1411513316582915e-11
1,87.43718592964824,1.1403229899497487e-11
1,87.9396984924623,1.139838065326633e-11
1,88.44221105527637,1.1396081155778896e-11
1,88.94472361809045,1.1395227386934674e-11
1,89.44723618090451,1.139416608040201e-11
1,89.94974874371859,1.1391351507537689e-11
1,90.45226130653265,1.138548718592965e-11
1,90.95477386934672,1.1376213819095476e-11
1,91.4572864321608,1.1363917839195979e-11
1,91.95979899497486,1.1349975628140704e-11
1,92.46231155778894,1.1336413819095478e-11
1,92.96482412060301,1.1325545728643216e-11
1,93.46733668341707,1.1319191959798996e-11
1,93.96984924623115,1.1318612060301508e-11
1,94.47236180904522,1.1323607035175879e-11
1,94.97487437185929,1.1333017587939699e-11
1,95.47738693467336,1.1344527638190954e-11
1,95.97989949748742,1.135531984924623e-11
